법률규정	항목	내용
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제1조(목적)	"이 규칙은 「특허법」 및 동법시행령에서 위임된 사항과 그 시행에 관하여 필요한 사항을 규정함을 목적으 로 한다. <개정 2002. 2. 28., 2005. 2. 11.>  제1조의2(정의) 이 규칙에서 사용하는 용어의 정의는 다음과 같다. <개정 2001. 6. 30., 2002. 2. 28., 2003. 12. 31., 2005.
2. 11., 2006. 9. 29., 2017. 2. 28.>
1. “전산정보처리조직”이라 함은 특허청이 사용하는 컴퓨터와 특허에 관한 출원ㆍ청구 기타의 절차(이하 “특허에 관 한 절차”라 한다)를 밟는 자 또는 그 대리인이 사용하는 컴퓨터를 정보통신망으로 접속한 조직을 말한다.
2. “전자문서”라 함은 다음 각 목의 서류를 말한다.
가. 특허에 관한 절차를 밟는 자가 특허청 또는 「특허협력조약」(이하 “조약”이라 한다)"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(ⅹⅸ)	"의 규정에 따른 국제사무국(이하 “국제사무국”이라 한다)에서 제공하는 소프트웨어 또는 특허청 홈페이지를 이용하여 작성한 서류를 특허청 또는 특허심판원에 정보통신망을 이용하여 제출(이하 “온라인 제출”이라 한다)하거나 플로피디 스크 또는 광디스크 등 전자적 기록매체(이하 “전자적기록매체”라 한다)에 수록하여 제출하는 서류
나. 특허청장 또는 특허심판원장이 정보통신망을 이용하여 특허출원인ㆍ특허취소신청인ㆍ심판청구인 그밖에 특 허에 관한 절차를 밟는 자(이하 “출원인등”이라 한다)에게 통지 또는 송달하는 서류 [본조신설 1998. 12. 31.]"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제2조(서류에 의한 절차)	법령에 따라 특허에 관한 절차를 밟기 위하여 특허청 또는 특허심판원에 제출하는 서류는 법 령에 특별한 규정이 있는 경우를 제외하고는 1건마다 작성하여야 하며, 제출인의 성명(법인의 경우에는 명칭) 및 「특 허법」(이하 “법”이라 한다) 제28조의2에 따른 고유번호(이하 “특허고객번호”라 한다)를 기재하고 서명 또는 날인(전 자문서의 경우에는 「전자서명법」 제2조제2호에 따른 전자서명을 말한다. 이하 같다)해야 한다. 다만, 특허고객번호 가 없는 경우에는 제출인의 성명 및 주소(법인인 경우에는 그 명칭 및 영업소의 소재지)를 기재하고 서명 또는 날인 해야 한다. <개정 2002. 2. 28., 2016. 10. 4., 2021. 6. 10.> [전문개정 1998. 12. 31.] [제목개정 2002. 2. 28.]
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ①	특허청 또는 특허심판원에 제출하는 모든 서류는 법령에 특별한 규정이 있는 경우를 제외하고는 특허청장 또는 특허심판원장을 수신인으로 하여야 한다. <개정 1998. 2. 23.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ②	삭제<2003. 5. 17.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ③	삭제<2003. 5. 17.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ④	삭제<2003. 5. 17.>  제3조의2(전자적 이미지로 작성된 첨부서류의 제출)
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ①	특허에 관한 절차를 밟는 자로서 전자문서로 서류를 제출하는 자는 첨부서류를 전자적 이미지로 작성하여 제출할 수 있다. <개정 2013. 1. 3., 2015. 7. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제3조(서류의 제출) ②	특허청장ㆍ특허심판원장 또는 심판장은 제1항의 규정에 의하여 제출된 전자적 이미지의 첨부서류가 판독이 곤란 하여 내용의 확인이 필요하다고 인정되는 경우에는 출원인등 또는 대리인에게 기간을 정하여 해당 서류를 서면으 로 제출하도록 명할 수 있다. [본조신설 2002. 2. 28.] 특허법 시행규칙
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제4조(서류의 사용어 등) ①	"특허청장 또는 특허심판원장에게 제출하는 서류는 다음 각 호의 서류를 제외하고는 국어로 적어야 한다. <개정 2014. 12. 30., 2016. 10. 4., 2017. 2. 28.>
1. 법 제42조의3제1항에 따라 제21조의2제1항에 따른 언어로 적은 명세서 및 도면
2. 법 제63조의3에 따라 제출하는 제46조제1항제1호 및 제2호의 서류
3. 위임장, 국적증명서 및 우선권증명서류 등 외국어로 적은 서류(제1호 및 제2호의 서류는 제외한다)"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제4조(서류의 사용어 등) ②	제1항제3호에 따른 서류(우선권증명서류는 제외한다)를 제출하는 경우에는 국어번역문을 첨부하여야 한다.<개 정 2014. 12. 30., 2017. 2. 28.> [제목개정 2014. 12. 30.]
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ①	특허에 관한 절차를 밟는 자가 대리인에 의하여 그 절차를 밟고자 하는 경우에는 별지 제 1호서식의 위임장을 특허청장 또는 특허심판원장에게 제출하여야 한다.
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ②	"특허에 관한 절차를 밟는 자가 대리인을 선임하여 그 절차를 밟으려는 경우에는 대리인의 선임신고를 하여야 한
다. 다만, 특허출원ㆍ법 제199조제2항에 따른 국제특허출원의 국내서면제출ㆍ특허출원인변경신고ㆍ특허취소신청 ㆍ심판청구ㆍ재심청구를 하거나 심판청구ㆍ재심청구에 대한 답변을 하는 때에 특허출원서ㆍ법 제203조에 따른 서 면ㆍ권리관계 변경신고서ㆍ특허취소신청서ㆍ심판청구서 또는 답변서에 위임장을 첨부하여 대리인이 제출하는 경 우에는 그러하지 아니하다.<개정 2001. 6. 30., 2003. 5. 17., 2003. 12. 31., 2005. 2. 11., 2006. 9. 29., 2006. 12. 29.,
2014. 12. 30., 2017. 2. 28.>"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ③	"제2항 본문에 따라 대리인의 선임신고를 하거나 대리인이 복대리인을 선임하려는 경우에는 별지 제2호서식의 신 고서에 그 신고내용을 증명하는 서류를 첨부하여 특허청장 또는 특허심판원장에게 제출하되, 먼저 선임된 대리인 또는 복대리인이 있는 때에는 그 해임 여부를 기재하여야 한다.<개정 2000. 10. 25., 2005. 2. 11., 2006. 12. 29.,
2014. 1. 29., 2014. 4. 10.>"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ④	삭제<2006. 12. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑤	특허에 관한 절차를 밟는 자가 대리인을 해임하거나 대리인이 복대리인을 해임하는 경우에는 별지 제2호서식의 신고서를 특허청장 또는 특허심판원장에게 제출하여야 한다.<개정 2006. 12. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑥	특허에 관한 절차를 밟는 자가 대리권의 내용을 변경하거나 대리인이 복대리권의 내용을 변경하는 경우에는 별 지 제2호서식의 신고서에 그 변경내용을 증명하는 서류를 첨부하여 특허청장 또는 특허심판원장에게 제출하여야 한다.<개정 2006. 12. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑦	대리인 또는 복대리인이 대리인 또는 복대리인을 사임하고자 하는 경우에는 별지 제2호서식의 신고서를 특허청 장 또는 특허심판원장에게 제출하여야 한다.<개정 2006. 12. 29.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑧	대리인이 「변리사법」 제6조의3에 따른 특허법인 또는 같은 법 제6조의12에 따른 특허법인(유한)(이하 이 조에서 “해당 특허법인등”이라 한다)의 구성원 또는 소속 변리사가 되면 그 대리인은 제7항에 따라 사임하거나 그 대리인 이 해당 특허법인등의 구성원 또는 소속 변리사가 되기 전에 대리하던 사건에 대하여 해당 특허법인등을 복대리인 으로 선임할 수 있다.<신설 2014. 4. 10.>
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ⑨	특허에 관한 절차를 밟는 자가 대리인을 선임 또는 해임하려는 경우, 대리인이 복대리인을 선임 또는 해임하려는 경우, 대리인 또는 복대리인이 대리인 또는 복대리인을 사임하려는 경우에 있어서 2 이상의 사건에 대하여 특허에 관한 절차를 밟는 자가 동일하고, 대리인 또는 복대리인이 동일한 때에는 하나의 신고서에 기재하여 제출할 수 있다 .<신설 2006. 9. 29., 2006. 12. 29., 2014. 4. 10.> [전문개정 1998. 12. 31.] [제목개정 2014. 12. 30.]  제5조의2(포괄위임)
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ①	"특허에 관한 절차를 대리인에 의하여 밟는 경우에 있어서 현재 및 장래의 사건에 대하여 미리 사 건을 특정하지 아니하고 포괄위임하려는 경우에는 별지 제3호서식의 포괄위임등록 신청서에 대리권을 증명하는 서 류(이하 “포괄위임장”이라 한다)를 첨부하여 특허청장에게 제출하여야 한다. 이 경우 대리인은 포괄위임을 하려는 자 에게 포괄위임에 대하여 설명하고 포괄위임장에 포괄위임을 하려는 자의 서명 또는 날인을 받아야 한다. <개정
2006. 12. 29., 2010. 7. 27., 2015. 7. 29., 2015. 12. 31.> 특허법 시행규칙"
특허법 시행규칙(산업통상자원부령)(제00579호)(20241101)	제1장 총칙 제5조(대리인의 선임 등) ②	특허청장은 제1항의 규정에 의한 포괄위임등록신청이 있는 때에는 포괄위임등록번호를 부여하고 그 번호를 포괄 위임등록신청인에게 통지하여야 한다.
