법률규정	항목	내용
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제1장 총칙 제1조(목적)	이 규칙은 특허청과 그 소속기관에 두는 보조기관ㆍ보좌기관의 직급 및 직급별 정원,「정부조직법」 제2조 제3항 및 제5항에 따라 국장 밑에 두는 보조기관과 이에 상당하는 보좌기관의 설치 및 사무분장 등 「특허청과 그 소 속기관 직제」에서 위임된 사항과 그 시행에 필요한 사항을 규정함을 목적으로 한다.
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제2조(차장)	"차장은 고위공무원단에 속하는 일반직공무원으로 보하되, 그 직위의 직무등급은 가등급으로 한다. <개정
2014. 1. 2.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제3조(대변인)	"대변인은 부이사관ㆍ과학기술서기관 또는 서기관으로 보한다. <개정 2013. 12. 12., 2018. 3. 30., 2023.
8. 30.>  제3조의2 삭제 <2022. 7. 13.>  제3조의3 삭제 <2022. 7. 13.>  제3조의4 삭제 <2022. 5. 10.>"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제4조(감사담당관)	감사담당관은 부이사관ㆍ과학기술서기관 또는 서기관으로 보한다. <개정 2023. 8. 30.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제5조(심사품질담당관)	심사품질담당관은 부이사관ㆍ과학기술서기관 또는 서기관으로 보한다. <개정 2023. 8. 30.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제6조(기획조정관) ①	기획조정관은 고위공무원단에 속하는 일반직공무원으로 보하되, 그 직위의 직무등급은 나등급으 로 한다.
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제6조(기획조정관) ②	기획조정관 밑에 기획재정담당관, 혁신행정담당관, 규제개혁법무담당관을 두되, 각 담당관은 부이사관ㆍ과학기 술서기관 또는 서기관으로 보한다.<개정 2017. 8. 8., 2023. 8. 30.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제6조(기획조정관) ③	"기획재정담당관은 다음 사항에 관하여 기획조정관을 보좌한다.
1. 각종 정책과 계획의 수립ㆍ총괄 및 조정
2. 주요업무계획지침의 수립ㆍ총괄 및 조정
3. 연두업무계획의 수립
4. 주요 정책의제의 총괄ㆍ조정 및 관리
5. 대통령 공약 및 지시사항에 관한 업무
6. 재정계획의 수립ㆍ총괄 및 조정
7. 재정사업 자율평가에 관한 업무
8. 예산의 편성ㆍ운영 및 결산
9. 국회 관련 업무의 총괄
10. 그 밖에 기획조정관 소관 분장업무 중 다른 담당관의 소관에 속하지 아니하는 사항"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제6조(기획조정관) ④	"혁신행정담당관은 다음 사항에 관하여 기획조정관을 보좌한다.<개정 2017. 8. 8., 2017. 12. 29., 2018. 3. 30.>
1. 행정관리 업무의 총괄ㆍ조정 특허청과 그 소속기관 직제 시행규칙
2. 조직진단 및 평가를 통한 조직과 정원의 관리
3. 책임운영기관 사업운영계획 및 연도별 사업계획의 수립
4. 책임운영기관의 평가 및 정부업무평가에 관한 업무
5. 청 내 정부혁신 관련 과제 발굴ㆍ선정, 추진상황 확인ㆍ점검 및 관리
6. 조직문화의 개선에 관한 사항
7. 제도개선 과제의 발굴ㆍ추진 및 관리
8. 자체제안제도의 총괄ㆍ운영
9. 사무분장규정 및 위임전결규정의 관리
10. 행정능률 관리
11. 업무처리절차의 분석과 업무처리과정의 표준화
12. 청 내 정부위원회 관련 업무의 총괄
13. 성과관리 전략계획 및 연도별 시행계획의 수립ㆍ총괄"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제6조(기획조정관) ⑤	"규제개혁법무담당관은 다음 사항에 관하여 기획조정관을 보좌한다.
1. 산업재산권 관련 규제개혁에 관한 기본계획의 수립
2. 산업재산권 관련 규제개혁사항 발굴 및 규제완화에 관한 사항
3. 법령안의 입안 지원
4. 행정심판업무의 총괄
5. 소송사무의 총괄
6. 법령질의에 대한 회신의 총괄
7. 자체 규제심사에 관한 업무
8. 여성정책 관련 업무의 총괄
9. 입법예고를 위한 전자공청회의 운영
10. 산업재산권 관련 운영협의회의 운영
11. 비영리 법인 관련 업무의 총괄
12. 산하 공공기관 관리 업무의 총괄
13. 삭제<2017. 12. 29.>
14. 성과관리 기본계획의 수립 및 총괄ㆍ조정
15. 성과관리업무의 총괄ㆍ조정 및 지원
16. 성과관리시스템의 구축 및 운영
17. 성과관리지표의 개발 및 관리
18. 직무성과계약제 운영 및 평가
19. 부서 및 개인의 성과평가에 관한 사항
20. 특허청 마일리지 제도 운영"
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제7조(운영지원과)	운영지원과장은 부이사관ㆍ과학기술서기관 또는 서기관으로 보한다. <개정 2023. 8. 30.>
특허청과 그 소속기관 직제 시행규칙(산업통상자원부령)(제00600호)(20250301)	제2장 특허청 제8조(산업재산정책국) ①	산업재산정책국장은 고위공무원단에 속하는 일반직공무원으로 보하되, 그 직위의 직무등급 은 나등급으로 한다.
