법률규정	항목	내용
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제1조(목적)	이 규칙은 「특허법」, 「실용신안법」, 「디자인보호법」, 「상표법」 및 「특허권 등의 등록령」에서 위임된 사항 과 그 시행에 필요한 사항을 규정함을 목적으로 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ①	「특허권 등의 등록령」(이하 “영”이라 한다) 제9조제2항에 따른 특허등록원부는 별지 제1호 서식, 특허신탁원부는 별지 제2호서식에 따라 각각 작성한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ②	영 제9조제3항에 따른 실용신안등록원부는 별지 제3호서식, 실용신안신탁원부는 별지 제4호서식에 따라 각각 작성한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ③	"영 제9조제4항에 따른 디자인등록원부(「디자인보호법」제198조제2항에 따라 설정등록을 받은 국제등록디자인 권은 제외한다. 이하 같다)는 별지 제5호서식, 디자인신탁원부는 별지 제6호서식에 따라 각각 작성한다.<개정 2014.
6. 25., 2016. 9. 22.>"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ④	영 제9조제5항에 따른 상표등록원부(「상표법」 제197조에 따라 설정등록을 받은 상표권에 관한 상표등록원부는 제외한다)는 별지 제8호서식, 별지 제9호서식 또는 별지 제10호서식에 따라 작성하고, 상표신탁원부는 별지 제11호 서식에 따라 작성한다.<개정 2016. 9. 22.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ⑤	「상표법」 제197조에 따라 설정등록을 받은 상표권(이하 “국제등록기초상표권”이라 한다)에 관한 상표등록원부 는 별지 제12호서식 또는 별지 제13호서식에 따라 작성한다.<개정 2016. 9. 22.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제2조(등록원부의 서식) ⑥	「디자인보호법」 제198조제2항에 따라 설정등록을 받은 국제등록디자인권(이하 “국제등록디자인권”이라 한다 )에 관한 디자인등록원부는 별지 제7호서식에 따라 작성한다.<신설 2016. 9. 22.>
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ①	제2조제1항에 따른 특허등록원부의 특허번호란에는 특허번호를 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ②	"권리란 중 등록사항란에는 특허권의 표시를 하고, 그 밖에 다음 각 호의 사항을 기록하며, 표시번호란에는 등록 사항란에 기록한 등록사항의 순위를 기록하여야 한다.<개정 2016. 9. 22., 2017. 11. 28.>
1. 「특허법」 제106조제1항 및 제106조의2제1항에 따른 특허권의 수용ㆍ실시
2.「특허법」 제132조의13에 따른 특허취소결정 또는 기각결정
3. 「특허법」 제132조의17(특허권의 존속기간의 연장등록거절결정에 대한 심판만 해당한다), 제133조제1항, 제 134조제1항ㆍ제2항, 제135조제1항ㆍ제2항, 제136조제1항, 제137조제1항 및 제138조제1항ㆍ제3항에 따른 심판 의 확정심결
4. 「특허법」 제178조제1항에 따른 재심(특허거절결정 불복심판에 대한 재심은 제외한다)의 확정심결
5. 「특허법」 제186조제1항에 따른 특허법원의 확정판결
6. 「특허법」 제186조제8항에 따른 대법원의 판결"
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ③	특허권자란의 등록사항란에는 특허권자, 특허권의 이전, 특허권 처분의 제한 또는 특허권을 목적으로 하는 질권 에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ④	전용실시권자란의 등록사항란에는 전용실시권과 전용실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
특허권 등의 등록령 시행규칙(산업통상자원부령)(제00563호)(20240701)	제1장 등록원부 제3조(특허등록원부의 기록) ⑤	통상실시권자란의 등록사항란에는 통상실시권과 통상실시권을 목적으로 하는 질권에 관한 사항을 기록하여야 한다.
